timestamp_utc,t_seconds,target_lambda
2026-06-23T18:47:05Z,605,128.0
2026-06-23T18:47:10Z,610,128.0
2026-06-23T18:47:15Z,615,128.0
2026-06-23T18:47:20Z,620,128.0
2026-06-23T18:47:25Z,625,128.0
2026-06-23T18:47:30Z,630,128.0
2026-06-23T18:47:35Z,635,128.0
2026-06-23T18:47:40Z,640,128.0
2026-06-23T18:47:45Z,645,128.0
2026-06-23T18:47:50Z,650,128.0
2026-06-23T18:47:55Z,655,128.0
2026-06-23T18:48:00Z,660,128.0
2026-06-23T18:48:05Z,665,128.0
2026-06-23T18:48:10Z,670,128.0
2026-06-23T18:48:15Z,675,128.0
2026-06-23T18:48:20Z,680,128.0
2026-06-23T18:48:25Z,685,128.0
2026-06-23T18:48:30Z,690,128.0
2026-06-23T18:48:35Z,695,128.0
2026-06-23T18:48:40Z,700,128.0
2026-06-23T18:48:45Z,705,128.0
2026-06-23T18:48:50Z,710,128.0
2026-06-23T18:48:55Z,715,128.0
2026-06-23T18:49:00Z,720,128.0
2026-06-23T18:49:05Z,725,128.0
2026-06-23T18:49:10Z,730,128.0
2026-06-23T18:49:15Z,735,128.0
2026-06-23T18:49:20Z,740,128.0
2026-06-23T18:49:25Z,745,128.0
2026-06-23T18:49:30Z,750,128.0
2026-06-23T18:49:35Z,755,128.0
2026-06-23T18:49:40Z,760,128.0
2026-06-23T18:49:45Z,765,128.0
2026-06-23T18:49:50Z,770,128.0
2026-06-23T18:49:55Z,775,128.0
2026-06-23T18:50:00Z,780,128.0
2026-06-23T18:50:05Z,785,128.0
2026-06-23T18:50:10Z,790,128.0
2026-06-23T18:50:15Z,795,128.0
2026-06-23T18:50:20Z,800,128.0
2026-06-23T18:50:25Z,805,128.0
2026-06-23T18:50:30Z,810,128.0
2026-06-23T18:50:35Z,815,128.0
2026-06-23T18:50:40Z,820,128.0
2026-06-23T18:50:45Z,825,128.0
2026-06-23T18:50:50Z,830,128.0
2026-06-23T18:50:55Z,835,128.0
2026-06-23T18:51:00Z,840,128.0
2026-06-23T18:51:05Z,845,128.0
2026-06-23T18:51:10Z,850,128.0
2026-06-23T18:51:15Z,855,128.0
2026-06-23T18:51:20Z,860,128.0
2026-06-23T18:51:25Z,865,128.0
2026-06-23T18:51:30Z,870,128.0
2026-06-23T18:51:35Z,875,128.0
2026-06-23T18:51:40Z,880,128.0
2026-06-23T18:51:45Z,885,128.0
2026-06-23T18:51:50Z,890,128.0
2026-06-23T18:51:55Z,895,128.0
2026-06-23T18:52:00Z,900,128.0
