timestamp_utc,t_seconds,target_lambda
2026-06-23T18:20:51Z,450,64.0
2026-06-23T18:20:56Z,455,64.0
2026-06-23T18:21:01Z,460,64.0
2026-06-23T18:21:06Z,465,64.0
2026-06-23T18:21:11Z,470,64.0
2026-06-23T18:21:16Z,475,64.0
2026-06-23T18:21:21Z,480,64.0
2026-06-23T18:21:26Z,485,64.0
2026-06-23T18:21:31Z,490,64.0
2026-06-23T18:21:36Z,495,64.0
2026-06-23T18:21:41Z,500,64.0
2026-06-23T18:21:46Z,505,64.0
2026-06-23T18:21:51Z,510,64.0
2026-06-23T18:21:56Z,515,64.0
2026-06-23T18:22:01Z,520,64.0
2026-06-23T18:22:06Z,525,64.0
2026-06-23T18:22:11Z,530,64.0
2026-06-23T18:22:16Z,535,64.0
2026-06-23T18:22:21Z,540,64.0
2026-06-23T18:22:26Z,545,64.0
2026-06-23T18:22:31Z,550,64.0
2026-06-23T18:22:36Z,555,64.0
2026-06-23T18:22:41Z,560,64.0
2026-06-23T18:22:46Z,565,64.0
2026-06-23T18:22:51Z,570,64.0
2026-06-23T18:22:56Z,575,64.0
2026-06-23T18:23:01Z,580,64.0
2026-06-23T18:23:06Z,585,64.0
2026-06-23T18:23:11Z,590,64.0
2026-06-23T18:23:16Z,595,64.0
2026-06-23T18:23:21Z,600,64.0
2026-06-23T18:23:26Z,605,64.0
2026-06-23T18:23:31Z,610,64.0
2026-06-23T18:23:36Z,615,64.0
2026-06-23T18:23:41Z,620,64.0
2026-06-23T18:23:46Z,625,64.0
2026-06-23T18:23:51Z,630,64.0
2026-06-23T18:23:56Z,635,64.0
2026-06-23T18:24:01Z,640,64.0
2026-06-23T18:24:06Z,645,64.0
2026-06-23T18:24:11Z,650,64.0
2026-06-23T18:24:16Z,655,64.0
2026-06-23T18:24:21Z,660,64.0
2026-06-23T18:24:26Z,665,64.0
2026-06-23T18:24:31Z,670,64.0
2026-06-23T18:24:36Z,675,64.0
2026-06-23T18:24:41Z,680,64.0
2026-06-23T18:24:46Z,685,64.0
2026-06-23T18:24:51Z,690,64.0
2026-06-23T18:24:56Z,695,64.0
2026-06-23T18:25:01Z,700,64.0
2026-06-23T18:25:06Z,705,64.0
2026-06-23T18:25:11Z,710,64.0
2026-06-23T18:25:16Z,715,64.0
2026-06-23T18:25:21Z,720,64.0
2026-06-23T18:25:26Z,725,64.0
2026-06-23T18:25:31Z,730,64.0
2026-06-23T18:25:36Z,735,64.0
2026-06-23T18:25:41Z,740,64.0
2026-06-23T18:25:46Z,745,64.0
2026-06-23T18:25:51Z,750,64.0
2026-06-23T18:25:56Z,755,64.0
2026-06-23T18:26:01Z,760,64.0
2026-06-23T18:26:06Z,765,64.0
2026-06-23T18:26:11Z,770,64.0
2026-06-23T18:26:16Z,775,64.0
2026-06-23T18:26:21Z,780,64.0
2026-06-23T18:26:26Z,785,64.0
2026-06-23T18:26:31Z,790,64.0
2026-06-23T18:26:36Z,795,64.0
2026-06-23T18:26:41Z,800,64.0
2026-06-23T18:26:46Z,805,64.0
2026-06-23T18:26:51Z,810,64.0
2026-06-23T18:26:56Z,815,64.0
2026-06-23T18:27:01Z,820,64.0
2026-06-23T18:27:06Z,825,64.0
2026-06-23T18:27:11Z,830,64.0
2026-06-23T18:27:16Z,835,64.0
2026-06-23T18:27:21Z,840,64.0
2026-06-23T18:27:26Z,845,64.0
2026-06-23T18:27:31Z,850,64.0
2026-06-23T18:27:36Z,855,64.0
2026-06-23T18:27:41Z,860,64.0
2026-06-23T18:27:46Z,865,64.0
2026-06-23T18:27:51Z,870,64.0
2026-06-23T18:27:56Z,875,64.0
2026-06-23T18:28:01Z,880,64.0
2026-06-23T18:28:06Z,885,64.0
2026-06-23T18:28:11Z,890,64.0
2026-06-23T18:28:16Z,895,64.0
2026-06-23T18:28:21Z,900,64.0
