timestamp_utc,t_seconds,target_lambda
2026-06-23T18:00:39Z,650,32.0
2026-06-23T18:00:44Z,655,32.0
2026-06-23T18:00:49Z,660,32.0
2026-06-23T18:00:54Z,665,32.0
2026-06-23T18:00:59Z,670,32.0
2026-06-23T18:01:04Z,675,32.0
2026-06-23T18:01:09Z,680,32.0
2026-06-23T18:01:14Z,685,32.0
2026-06-23T18:01:19Z,690,32.0
2026-06-23T18:01:24Z,695,32.0
2026-06-23T18:01:29Z,700,32.0
2026-06-23T18:01:34Z,705,32.0
2026-06-23T18:01:39Z,710,32.0
2026-06-23T18:01:44Z,715,32.0
2026-06-23T18:01:49Z,720,32.0
2026-06-23T18:01:54Z,725,32.0
2026-06-23T18:01:59Z,730,32.0
2026-06-23T18:02:04Z,735,32.0
2026-06-23T18:02:09Z,740,32.0
2026-06-23T18:02:14Z,745,32.0
2026-06-23T18:02:19Z,750,32.0
2026-06-23T18:02:24Z,755,32.0
2026-06-23T18:02:29Z,760,32.0
2026-06-23T18:02:34Z,765,32.0
2026-06-23T18:02:39Z,770,32.0
2026-06-23T18:02:44Z,775,32.0
2026-06-23T18:02:49Z,780,32.0
2026-06-23T18:02:54Z,785,32.0
2026-06-23T18:02:59Z,790,32.0
2026-06-23T18:03:04Z,795,32.0
2026-06-23T18:03:09Z,800,32.0
2026-06-23T18:03:14Z,805,32.0
2026-06-23T18:03:19Z,810,32.0
2026-06-23T18:03:24Z,815,32.0
2026-06-23T18:03:29Z,820,32.0
2026-06-23T18:03:34Z,825,32.0
2026-06-23T18:03:39Z,830,32.0
2026-06-23T18:03:44Z,835,32.0
2026-06-23T18:03:49Z,840,32.0
2026-06-23T18:03:54Z,845,32.0
2026-06-23T18:03:59Z,850,32.0
2026-06-23T18:04:04Z,855,32.0
2026-06-23T18:04:09Z,860,32.0
2026-06-23T18:04:14Z,865,32.0
2026-06-23T18:04:19Z,870,32.0
2026-06-23T18:04:24Z,875,32.0
2026-06-23T18:04:29Z,880,32.0
2026-06-23T18:04:34Z,885,32.0
2026-06-23T18:04:39Z,890,32.0
2026-06-23T18:04:44Z,895,32.0
2026-06-23T18:04:49Z,900,32.0
