candidate_id,prediction_horizon,control_horizon,tracking_error_weight,control_effort_weight,control_delta_weight,soft_constraint_weight,profile,calibrated_status,full_rmse,full_mae,full_max_abs_error,settled_rmse,settled_mae,settled_max_abs_error,final_error,final_abs_error,overshoot,undershoot,rate_limit_fraction,saturation_fraction,target_change_count,closed_loop_simulated,performance_claim
mpc_skeleton_ph05_ch03_q1.000_r0.050_du0.100_sc100.0,5,3,1.0,0.05,0.1,100.0,multistep,UNEXPLAINED_FAIL,6.702143491756597,2.858493394386328,40.161482714636776,7.164627706672947,2.9643960316815323,40.161482714636776,-0.5288520320815024,0.5288520320815024,19.986123465218164,40.161482714636776,0.0,0.0,3,True,False
mpc_skeleton_ph05_ch03_q1.000_r0.050_du0.100_sc100.0,5,3,1.0,0.05,0.1,100.0,lower-range,SETTLED_WARN,2.8670044919967697,1.7656308981219935,14.439276311150351,2.9969507208930226,1.7856036169366394,14.439276311150351,-1.43650923236644,1.43650923236644,9.82302940673651,14.439276311150351,0.0,0.0,3,True,False
mpc_skeleton_ph05_ch03_q1.000_r0.050_du0.100_sc100.0,5,3,1.0,0.05,0.1,100.0,sine-approx,PASS,2.6325620063265394,2.2902063616015615,4.840266737813778,0.0,0.0,0.0,2.6472432947439444,2.6472432947439444,4.321683720133137,4.840266737813778,0.0,0.0,79,True,False
mpc_skeleton_ph10_ch01_q1.000_r0.010_du0.100_sc100.0,10,1,1.0,0.01,0.1,100.0,hold-y-eq,PASS,0.9788377809977965,0.9726278727862466,0.9864655636139901,0.9788377809977965,0.9726278727862466,0.9864655636139901,0.9864655636139901,0.9864655636139901,0.9864655636139901,0.0,0.0,0.0,0,True,False
mpc_skeleton_ph10_ch01_q1.000_r0.010_du0.100_sc100.0,10,1,1.0,0.01,0.1,100.0,step64-96,UNEXPLAINED_FAIL,5.313531901652499,2.2328808856130102,26.036290239854793,5.476043187504748,2.308929185816674,26.036290239854793,0.7772528457165606,0.7772528457165606,26.036290239854793,2.787312166824904,0.0,0.0,1,True,False
mpc_skeleton_ph10_ch01_q1.000_r0.010_du0.100_sc100.0,10,1,1.0,0.01,0.1,100.0,step96-64,UNEXPLAINED_FAIL,4.850209256405041,2.394248109468193,24.03560870305685,4.9690135859771285,2.41896798203475,24.03560870305685,1.2234286910813523,1.2234286910813523,4.7879937036228455,24.03560870305685,0.0,0.0,1,True,False
mpc_skeleton_ph10_ch01_q1.000_r0.010_du0.100_sc100.0,10,1,1.0,0.01,0.1,100.0,multistep,UNEXPLAINED_FAIL,12.485683149392274,6.225424196722881,53.94963351806703,13.817707067833805,7.330165685360516,53.94963351806703,-0.5288520320815167,0.5288520320815167,26.730185299245775,53.94963351806703,0.0,0.0,3,True,False
mpc_skeleton_ph10_ch01_q1.000_r0.010_du0.100_sc100.0,10,1,1.0,0.01,0.1,100.0,lower-range,SETTLED_WARN,5.149838005127858,3.0014300858377183,20.833785619621608,5.6797363528494484,3.413725621244283,20.833785619621608,-1.4365092323663333,1.4365092323663333,13.3489737217104,20.833785619621608,0.0,0.0,3,True,False
mpc_skeleton_ph10_ch01_q1.000_r0.010_du0.100_sc100.0,10,1,1.0,0.01,0.1,100.0,sine-approx,EXPLAINED_TRANSIENT,8.614236635393071,7.737128902679074,13.054194482465448,0.0,0.0,0.0,10.383539811495595,10.383539811495595,11.206815066500127,13.054194482465448,0.0,0.0,79,True,False
mpc_skeleton_ph10_ch01_q1.000_r0.050_du0.100_sc100.0,10,1,1.0,0.05,0.1,100.0,hold-y-eq,PASS,0.9788377809977965,0.9726278727862466,0.9864655636139901,0.9788377809977965,0.9726278727862466,0.9864655636139901,0.9864655636139901,0.9864655636139901,0.9864655636139901,0.0,0.0,0.0,0,True,False
mpc_skeleton_ph10_ch01_q1.000_r0.050_du0.100_sc100.0,10,1,1.0,0.05,0.1,100.0,step64-96,UNEXPLAINED_FAIL,5.313531901652499,2.2328808856130102,26.036290239854793,5.476043187504748,2.308929185816674,26.036290239854793,0.7772528457165606,0.7772528457165606,26.036290239854793,2.787312166824904,0.0,0.0,1,True,False
mpc_skeleton_ph10_ch01_q1.000_r0.050_du0.100_sc100.0,10,1,1.0,0.05,0.1,100.0,step96-64,UNEXPLAINED_FAIL,4.850209256405041,2.394248109468193,24.03560870305685,4.9690135859771285,2.41896798203475,24.03560870305685,1.2234286910813523,1.2234286910813523,4.7879937036228455,24.03560870305685,0.0,0.0,1,True,False
mpc_skeleton_ph10_ch01_q1.000_r0.050_du0.100_sc100.0,10,1,1.0,0.05,0.1,100.0,multistep,UNEXPLAINED_FAIL,12.485683149392274,6.225424196722881,53.94963351806703,13.817707067833805,7.330165685360516,53.94963351806703,-0.5288520320815167,0.5288520320815167,26.730185299245775,53.94963351806703,0.0,0.0,3,True,False
mpc_skeleton_ph10_ch01_q1.000_r0.050_du0.100_sc100.0,10,1,1.0,0.05,0.1,100.0,lower-range,SETTLED_WARN,5.149838005127858,3.0014300858377183,20.833785619621608,5.6797363528494484,3.413725621244283,20.833785619621608,-1.4365092323663333,1.4365092323663333,13.3489737217104,20.833785619621608,0.0,0.0,3,True,False
mpc_skeleton_ph10_ch01_q1.000_r0.050_du0.100_sc100.0,10,1,1.0,0.05,0.1,100.0,sine-approx,EXPLAINED_TRANSIENT,8.614236635393071,7.737128902679074,13.054194482465448,0.0,0.0,0.0,10.383539811495595,10.383539811495595,11.206815066500127,13.054194482465448,0.0,0.0,79,True,False
mpc_skeleton_ph10_ch03_q1.000_r0.010_du0.100_sc100.0,10,3,1.0,0.01,0.1,100.0,hold-y-eq,PASS,0.9788377809977965,0.9726278727862466,0.9864655636139901,0.9788377809977965,0.9726278727862466,0.9864655636139901,0.9864655636139901,0.9864655636139901,0.9864655636139901,0.0,0.0,0.0,0,True,False
mpc_skeleton_ph10_ch03_q1.000_r0.010_du0.100_sc100.0,10,3,1.0,0.01,0.1,100.0,step64-96,UNEXPLAINED_FAIL,5.313531901652499,2.2328808856130102,26.036290239854793,5.476043187504748,2.308929185816674,26.036290239854793,0.7772528457165606,0.7772528457165606,26.036290239854793,2.787312166824904,0.0,0.0,1,True,False
