family,delay_steps,c,a_y,b_u,y_eq,u_eq,train_sample_count,train_one_step_rmse,validation_one_step_rmse,train_recursive_rmse,validation_recursive_rmse,validation_recursive_mae,validation_recursive_bias,validation_recursive_mape,validation_recursive_r2
no_intercept,20,0.0,1.0060655703709909,-0.033722343089603424,97.16156286,97.04,29,6.088144614785954,8.352600852067514,92.5732717400073,58.40055301321536,48.269420953872576,-48.269420953872576,86.96699357735588,-9.683008608885876
no_intercept,10,0.0,1.0558907596549294,-0.06828410011005127,97.16156286,97.04,39,6.0373067215558045,6.258673792357679,182.34759921819474,58.44783444084921,46.11213882584512,-46.11213882584512,80.06350426835475,-9.700313663085817
no_intercept,15,0.0,1.0303301042778619,-0.05023237663245065,97.16156286,97.04,34,5.739003763489222,7.639899996470113,120.81109436458091,62.093188761446804,50.87327463238774,-50.87327463238774,91.02678738417016,-11.076680753787837
equilibrium_deviation,15,12.957917807166163,0.9997108364820918,-0.1332421911360687,97.16156286,97.04,34,5.7753627399969645,8.195924633380812,6.556789821098255,62.67131220037447,52.0916116936495,52.00842217284245,95.81420143151126,-11.302609384593989
equilibrium_deviation,20,25.82748304107352,0.9231478284318739,-0.18920451300834226,97.16156286,97.04,29,6.109238188988056,12.250180019212092,7.209515710087487,65.9587183573975,57.59945556128976,57.59945556128976,110.64039501524978,-12.627119856202913
equilibrium_deviation,1,-0.6766210388814677,1.172234645568313,-0.16547780609206506,97.16156286,97.04,48,6.485820037476542,5.354874233286811,6935.729729258608,69.07956802020482,40.65812971288368,-39.37337807609981,58.52642747808582,-13.94716695124319
intercept,4,-3.120250637559728,1.0286026036343043,-0.006555555472732945,97.16156286,97.04,45,6.709305398946374,6.56986746351143,86.37744146435203,69.29508183171376,53.71914336426194,-53.71914336426194,91.91102244549317,-14.04057650597335
intercept,3,-2.708619537520342,1.0404620351323273,-0.02206334888337103,97.16156286,97.04,46,6.63416682766487,6.302762184128733,120.32017563324848,70.44030592008367,53.614251228020315,-53.614251228020315,90.47307452409505,-14.541828990005815
intercept,5,-3.6602195511179847,1.0224556245905785,0.004312401458608292,97.16156286,97.04,44,6.780517057095499,6.940009108985795,76.06834922808567,72.6251231163111,56.98011845172261,-56.98011845172261,98.43785236772503,-15.520889347409522
intercept,2,-2.254452643423753,1.0680696965624068,-0.053670453330473974,97.16156286,97.04,47,6.553237442227433,6.02429496417523,292.09442193539564,80.1504500289636,58.35431493347921,-58.35431493347921,95.44284785101705,-19.12202061104119
intercept,1,-1.7717686217917752,1.1563182513637311,-0.14615630758395198,97.16156286,97.04,48,6.4416705052949315,5.731303960938523,5842.952351291529,177.72166042161675,114.07373919178917,-114.07373919178917,173.47721749497745,-97.93281884811299
